What is 31 + 13?|30,44,44|44
What is 26 + 17?|25,43,43|43
What is 26 squared?|25,40,676|676
Which ancient civilization built the pyramids?|Romans,Greeks,Egyptians|Egyptians
What planet is known as the Red Planet?|Mercury,Venus,Mars|Mars
What is the largest ocean on Earth?|Atlantic,Indian,Pacific|Pacific
What is the capital of France?|Berlin,Madrid,Paris|Paris
What is the largest ocean on Earth?|Atlantic,Indian,Pacific|Pacific
What is the capital of France?|Berlin,Madrid,Paris|Paris
What is the largest ocean on Earth?|Atlantic,Indian,Pacific|Pacific
What is the largest ocean on Earth?|Atlantic,Indian,Pacific|Pacific
What gas do plants absorb from the atmosphere?|Oxygen,Carbon Dioxide,Nitrogen|Carbon Dioxide
What is 22 squared?|21,29,484|484
What is 19 squared?|18,20,361|361
What planet is known as the Red Planet?|Mercury,Venus,Mars|Mars
What is 17 squared?|16,25,289|289
In what year did World War II end?|1943,1945,1950|1945
What gas do plants absorb from the atmosphere?|Oxygen,Carbon Dioxide,Nitrogen|Carbon Dioxide
What is 45 squared?|44,64,2025|2025
In what year did World War II end?|1943,1945,1950|1945
What gas do plants absorb from the atmosphere?|Oxygen,Carbon Dioxide,Nitrogen|Carbon Dioxide
What is the chemical symbol for water?|H2O,CO2,O2|H2O
In what year did World War II end?|1943,1945,1950|1945
What planet is known as the Red Planet?|Mercury,Venus,Mars|Mars
How many continents are there on Earth?|5,6,7|7
What is 22 + 12?|21,34,34|34
What is the largest ocean on Earth?|Atlantic,Indian,Pacific|Pacific
What is the capital of France?|Berlin,Madrid,Paris|Paris
What gas do plants absorb from the atmosphere?|Oxygen,Carbon Dioxide,Nitrogen|Carbon Dioxide
What planet is known as the Red Planet?|Mercury,Venus,Mars|Mars
What is the chemical symbol for water?|H2O,CO2,O2|H2O
What planet is known as the Red Planet?|Mercury,Venus,Mars|Mars
What is the capital of France?|Berlin,Madrid,Paris|Paris
What is the largest ocean on Earth?|Atlantic,Indian,Pacific|Pacific
What is 67 * 17?|66,84,1139|1139
